symbol,price,time
TOMOUSDT,0.7306,2023-04-15 07:10:29.561
PERLUSDT,0.0323,2023-04-15 07:10:30.559
DENTUSDT,0.001149,2023-04-15 07:10:31.349
DOCKUSDT,0.02342,2023-04-15 07:10:32.631
BANDUSDT,1.951,2023-04-15 07:10:33.738
BUSDUSDT,0.9998,2023-04-15 07:10:34.519
BEAMUSDT,0.0652,2023-04-15 07:10:35.298
HBARUSDT,0.0679,2023-04-15 07:10:36.065
KAVAUSDT,0.926,2023-04-15 07:10:36.828
ARPAUSDT,0.04382,2023-04-15 07:10:37.594
IOTXUSDT,0.02937,2023-04-15 07:10:38.399
CTXCUSDT,0.2399,2023-04-15 07:10:39.169
TROYUSDT,0.003776,2023-04-15 07:10:39.935
VITEUSDT,0.02472,2023-04-15 07:10:40.712
DREPUSDT,0.4731,2023-04-15 07:10:41.546
BULLUSDT,1370.28,2023-04-15 07:10:42.312
BEARUSDT,11.16,2023-04-15 07:10:43.077
AIONUSDT,0.00943,2023-04-15 07:10:43.878
COTIUSDT,0.0833,2023-04-15 07:10:44.710
STPTUSDT,0.05526,2023-04-15 07:10:45.474
DATAUSDT,0.03929,2023-04-15 07:10:46.243
CTSIUSDT,0.169,2023-04-15 07:10:47.013
HIVEUSDT,0.4325,2023-04-15 07:10:47.788
ARDRUSDT,0.0952,2023-04-15 07:10:48.554
LENDUSDT,0.51431,2023-04-15 07:10:49.323
STMXUSDT,0.006025,2023-04-15 07:10:50.096
COMPUSDT,44.68,2023-04-15 07:10:50.866
BKRWUSDT,0.0008453,2023-04-15 07:10:51.631
VTHOUSDT,0.001439,2023-04-15 07:10:52.398
MANAUSDT,0.6302,2023-04-15 07:10:53.166
IRISUSDT,0.03366,2023-04-15 07:10:53.938
SANDUSDT,0.686,2023-04-15 07:10:54.743
LUNAUSDT,1.4066,2023-04-15 07:10:56.011
PAXGUSDT,2019.0,2023-04-15 07:10:56.783
WNXMUSDT,29.58,2023-04-15 07:10:57.549
BZRXUSDT,0.2156,2023-04-15 07:10:58.323
YFIIUSDT,1121.1,2023-04-15 07:10:59.221
EGLDUSDT,42.57,2023-04-15 07:11:00.027
RUNEUSDT,1.665,2023-04-15 07:11:00.923
WINGUSDT,7.38,2023-04-15 07:11:01.713
AVAXUSDT,19.04,2023-04-15 07:11:02.654
AAVEUSDT,81.4,2023-04-15 07:11:03.419
NEARUSDT,2.193,2023-04-15 07:11:04.193
AKROUSDT,0.00545,2023-04-15 07:11:04.963
HARDUSDT,0.1893,2023-04-15 07:11:05.768
UNFIUSDT,5.465,2023-04-15 07:11:07.029
ROSEUSDT,0.07185,2023-04-15 07:11:08.793
SUSDUSDT,0.996,2023-04-15 07:11:10.066
REEFUSDT,0.002983,2023-04-15 07:11:11.345
CELOUSDT,0.713,2023-04-15 07:11:12.130
FIROUSDT,2.281,2023-04-15 07:11:12.894
DODOUSDT,0.1892,2023-04-15 07:11:13.668
CAKEUSDT,3.614,2023-04-15 07:11:14.436
PONDUSDT,0.01057,2023-04-15 07:11:15.232
DEGOUSDT,2.212,2023-04-15 07:11:16.538
LINAUSDT,0.014411,2023-04-15 07:11:17.325
PERPUSDT,0.84732,2023-04-15 07:11:18.094
RAMPUSDT,0.0524,2023-04-15 07:11:18.857
AUTOUSDT,114.8,2023-04-15 07:11:19.625
BAKEUSDT,0.2157,2023-04-15 07:11:20.398
SHIBUSDT,1.118e-05,2023-04-15 07:11:21.165
POLSUSDT,0.462,2023-04-15 07:11:22.031
MASKUSDT,5.691,2023-04-15 07:11:22.817
TORNUSDT,4.06,2023-04-15 07:11:23.587
KEEPUSDT,0.6251,2023-04-15 07:11:24.418
KLAYUSDT,0.2669,2023-04-15 07:11:25.209
BONDUSDT,4.364,2023-04-15 07:11:25.977
DEXEUSDT,3.112,2023-04-15 07:11:26.749
FLOWUSDT,1.036,2023-04-15 07:11:27.553
MINAUSDT,0.798,2023-04-15 07:11:28.319
FARMUSDT,36.6,2023-04-15 07:11:29.086
MBOXUSDT,0.499,2023-04-15 07:11:29.856
GHSTUSDT,1.126,2023-04-15 07:11:30.615
WAXPUSDT,0.0738,2023-04-15 07:11:31.377
DYDXUSDT,2.696,2023-04-15 07:11:32.141
POLYUSDT,0.2696,2023-04-15 07:11:32.903
IDEXUSDT,0.05577,2023-04-15 07:11:33.670
VIDTUSDT,0.03819,2023-04-15 07:11:34.435
